ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
YUNNAN ALUMINIUM 'A',0,"203,100",0,"203,100",CNY,"355,953.96 0.01"
YUNNAN BAIYAO GROUP 'A',"41,600",0,0,"41,600",CNY,"683,066.99 0.02"
YUNNAN ENERGY NEW MATERIAL 'A',"18,000","8,500",0,"26,500",CNY,"1,041,144.32 0.03"
ZHANGZHOU PIENTZEHUANG PH. 'A',"18,290",0,0,"18,290",CNY,"1,254,512.30 0.03"
ZHAOJIN MINING INDUSTRY 'H',"619,500",0,"619,500",0,HKD,0.00 0.00
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
ZHEFU HOLDING GROUP CO 'A',0,"330,300",0,"330,300",CNY,"368,994.00 0.01"
ZHEJIANG CENTURY HUATONG GROUP 'A',"232,560",0,0,"232,560",CNY,"306,145.38 0.01"
ZHEJIANG CHINT ELECTRICS 'A',"75,200",0,0,"75,200",CNY,"635,853.05 0.02"
ZHEJIANG DAHUA TECHNOLOGY 'A',"127,600",0,0,"127,600",CNY,"470,088.37 0.01"
ZHEJIANG DINGLI MACHINERY 'A',"15,260",0,0,"15,260",CNY,"192,169.48 0.01"
ZHEJIANG EXPRESSWAY 'H',"788,000",0,0,"788,000",HKD,"702,464.18 0.02"
ZHEJIANG HANGKE TECH. INC. 'A',0,"18,000",0,"18,000",CNY,"303,832.89 0.01"
ZHEJIANG HUAHAI PHARMACEUTICAL 'A',"42,900",0,0,"42,900",CNY,"145,796.29 0.00"
ZHEJIANG HUAYOU COBALT 'A',"25,400","17,700",0,"43,100",CNY,"745,972.63 0.02"
ZHEJIANG JINGSHENG MECHANICAL 'A',"20,912","32,900",0,"53,812",CNY,"586,806.17 0.02"
ZHEJIANG JIUZHOU PHARMA. 'A',0,"37,200",0,"37,200",CNY,"328,377.51 0.01"
ZHEJIANG JUHUA 'A',"105,700",0,0,"105,700",CNY,"214,107.54 0.01"
ZHEJIANG LONGSHENG GROUP 'A',"112,000",0,0,"112,000",CNY,"221,948.45 0.01"
ZHEJIANG NHU 'A',"65,200","13,040",0,"78,240",CNY,"382,031.49 0.01"
ZHEJIANG SANHUA INTELLIGENT CON.'A',"118,820",0,0,"118,820",CNY,"471,672.77 0.01"
ZHEJIANG SATELLITE PETROCHEMI. 'A',0,"63,300",0,"63,300",CNY,"397,575.89 0.01"
ZHEJIANG SUPOR CO 'A',"19,000",0,0,"19,000",CNY,"185,546.99 0.00"
ZHEJIANG WEIXING NBM 'A',"56,700",0,0,"56,700",CNY,"216,360.20 0.01"
ZHEJIANG WOLWO BIO-PHARMA. 'A',"13,600",0,0,"13,600",CNY,"122,271.23 0.00"
ZHEJIANG YONGTAI TECH.'A',0,"37,600",0,"37,600",CNY,"302,115.74 0.01"
ZHENGZHOU YUTONG BUS 'A',"49,000",0,"49,000",0,CNY,0.00 0.00
ZHESHANG SECURITIES 'A',"83,600",0,0,"83,600",CNY,"172,883.05 0.00"
ZHONGAN ONLINE P&C INS. 'H',"166,900","99,700",0,"266,600",HKD,"926,707.33 0.02"
ZHONGJI INN.'A',"16,100",0,0,"16,100",CNY,"107,360.75 0.00"
ZHONGJIN GOLD CO 'A',"87,700",0,"87,700",0,CNY,0.00 0.00
ZHONGTAI SECURITIES 'A',0,"220,500",0,"220,500",CNY,"344,932.80 0.01"
ZHUZHOU CRRC TIMES ELECTRIC 'H',"286,600","60,600","52,300","294,900",HKD,"1,707,834.14 0.04"
ZHUZHOU HONGDA ELECTRONICS 'A',0,"24,600",0,"24,600",CNY,"386,212.51 0.01"
ZHUZHOU KIBING GROUP 'A',0,"139,700","98,800","40,900",CNY,"109,736.26 0.00"
ZIJIN MINING GROUP 'A',"681,100","216,200","206,400","690,900",CNY,"1,051,520.30 0.03"
ZIJIN MINING GROUP 'H',"2,616,000","568,000","272,000","2,912,000",HKD,"3,466,191.17 0.09"
ZOOMLION HEAVY INDUSTRY 'A',"201,600",0,0,"201,600",CNY,"226,798.63 0.01"
ZOOMLION HEAVY INDUSTRY 'H',"677,000",0,0,"677,000",HKD,"426,366.75 0.01"
ZTE 'A',"133,900",0,0,"133,900",CNY,"703,811.11 0.02"
ZTE 'H',"423,480",0,"116,600","306,880",HKD,"840,387.59 0.02"
"",,,,,,
"",,,,,,"450,615,624.53 11.80"
CHYPRE / ZYPERN,,,,,,
OZON -ADR SPONS-,0,"25,941",0,"25,941",RUB,"788,044.33 0.02"
TCS GROUP HOLDING 'A' -GDR SPONS-,0,"64,737","9,030","55,707",RUB,"4,532,518.44 0.12"
"",,,,,,
"",,,,,,"5,320,562.77 0.14"
COLOMBIE / KOLUMBIEN,,,,,,
BANCOLOMBIA,"124,993",0,0,"124,993",COP,"1,065,666.19 0.03"
BANCOLOMBIA PFD,"196,146","72,530","39,629","229,047",COP,"1,800,862.71 0.05"
ECOPETROL,"2,658,020","1,083,716","1,065,284","2,676,452",COP,"1,768,958.97 0.05"
GRUPO DE INVERSIONES SURAMERICANA,"95,502",0,0,"95,502",COP,"703,946.64 0.02"
INTERCONEXION ELECTRICA,"224,738",0,0,"224,738",COP,"1,236,888.49 0.03"
"",,,,,,
"",,,,,,"6,576,323.00 0.17"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
COREE DU SUD / SÜDKOREA,,,,,,
ALTEOGEN,"8,852","4,426",0,"13,278",KRW,"845,550.38 0.02"
ALTEOGEN -PROV-,0,"4,426","4,426",0,KRW,0.00 0.00
AMOREPACIFIC CORP,"14,621","1,582","1,661","14,542",KRW,"2,042,920.94 0.05"
AMOREPACIFIC GROUP,"14,871","9,088","5,148","18,811",KRW,"701,805.00 0.02"
BGF RETAIL,"4,049",0,0,"4,049",KRW,"495,589.07 0.01"
CELLTRION,"45,007","5,959","3,735","47,231",KRW,"7,866,893.64 0.21"
CELLTRION HEALT -PROV-,678,773,678,773,KRW,"52,151.26 0.00"
CELLTRION HEALTHCARE,"33,942","7,437","2,689","38,690",KRW,"2,610,261.67 0.07"
CELLTRION PHARM,"8,151",163,0,"8,314",KRW,"870,044.26 0.02"
CELLTRION -PROV-,900,944,900,944,KRW,"157,234.60 0.00"
CELLTRION-PROV-,163,249,163,249,KRW,"26,057.38 0.00"
CHEIL WORLDWIDE,"34,833",0,0,"34,833",KRW,"669,557.74 0.02"
CJ,"9,109",0,"4,012","5,097",KRW,"357,595.16 0.01"
CJ CHEILJEDANG,"4,242",0,894,"3,348",KRW,"1,091,360.18 0.03"
CJ ENM,"5,890","5,443","5,588","5,745",KRW,"670,795.97 0.02"
CJ LOGISTICS,"4,597",0,0,"4,597",KRW,"487,254.65 0.01"
COWAY CO,"23,790","5,366",0,"29,156",KRW,"1,824,785.51 0.05"
DAEWOO SHIPBUILDING & MARINE ENGIN.,"19,556",0,"19,556",0,KRW,0.00 0.00
DB INSURANCE,"26,398",0,"7,731","18,667",KRW,"847,967.55 0.02"
DOOSAN BOBCAT,"25,080",0,0,"25,080",KRW,"859,737.94 0.02"
DOOSAN HEAVY INDUSTRIES & CONSTR.,"100,808","58,256",0,"159,064",KRW,"2,729,688.03 0.07"
DOUZONE BIZON,"11,754",0,"3,495","8,259",KRW,"507,179.01 0.01"
ECOPRO BM,0,"5,060",0,"5,060",KRW,"2,131,698.53 0.06"
E-MART,"7,679","4,873","2,299","10,253",KRW,"1,302,383.40 0.03"
F&F,0,"1,485",0,"1,485",KRW,"1,180,508.75 0.03"
FILA HOLDING,"26,306","7,518","33,824",0,KRW,0.00 0.00
GREEN CROSS,0,"2,324",0,"2,324",KRW,"426,190.30 0.01"
GS ENGINEERING & CONSTRUCTION,"32,337","9,102","8,837","32,602",KRW,"1,086,051.39 0.03"
GS HOLDINGS,"27,922",0,"8,410","19,512",KRW,"641,784.90 0.02"
GS RETAIL,"14,581",0,"14,581",0,KRW,0.00 0.00
HANA FINANCIAL GROUP,"143,393","10,004","10,348","143,049",KRW,"5,060,131.16 0.13"
HANKOOK TIRE & TECHNOLOGY,"38,502","26,155","26,317","38,340",KRW,"1,280,423.28 0.03"
HANMI PHARM,"2,399",937,0,"3,336",KRW,"774,543.96 0.02"
HANMI PHARM -PROV-,47,66,47,66,KRW,"15,323.71 0.00"
HANON SYSTEMS,"78,947",0,0,"78,947",KRW,"893,241.44 0.02"
HANWHA SOLUTION,"45,984","26,054","6,780","65,258",KRW,"1,948,825.98 0.05"
HLB,"21,792","32,989","6,841","47,940",KRW,"1,403,421.81 0.04"
HLB -PROV-,0,"21,792","21,792",0,KRW,0.00 0.00
HMM,0,"129,686",0,"129,686",KRW,"2,934,650.07 0.08"
HOTEL SHILLA,"12,788",0,0,"12,788",KRW,"839,089.29 0.02"
HYBE,0,"8,051",0,"8,051",KRW,"2,363,666.51 0.06"
HYUNDAI ENGINEERING & CONSTRUCT.,"43,016",0,"8,581","34,435",KRW,"1,287,605.43 0.03"
HYUNDAI GLOVIS,"7,890",0,0,"7,890",KRW,"1,115,057.42 0.03"
HYUNDAI HEAVY INDUSTRIES HOLDINGS,"5,059","20,236","5,163","20,132",KRW,"909,436.03 0.02"
HYUNDAI MARINE & FIRE INSURANCE,"33,228",0,"33,228",0,KRW,0.00 0.00
HYUNDAI MOBIS,"32,334","1,793","2,342","31,785",KRW,"6,804,887.51 0.18"
HYUNDAI MOTOR,"71,962","8,985","14,535","66,412",KRW,"11,676,260.97 0.31"
HYUNDAI MOTOR PFD II,"15,163","7,835","3,151","19,847",KRW,"1,686,270.30 0.04"
HYUNDAI MOTOR PFD -NVTG-,"12,752",0,"3,139","9,613",KRW,"796,537.31 0.02"
HYUNDAI STEEL,"41,832",0,0,"41,832",KRW,"1,442,791.03 0.04"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
ILJIN MATERIALS,0,"12,196",0,"12,196",KRW,"1,385,039.41 0.04"
INDUSTRIAL BANK OF KOREA,"136,528","115,099","120,969","130,658",KRW,"1,132,098.40 0.03"
KAKAO,"27,503","125,599","4,131","148,971",KRW,"14,098,249.86 0.37"
KAKAO GAMES,0,"16,828",0,"16,828",KRW,"1,288,204.59 0.03"
KAKAOBANK,0,"48,274",0,"48,274",KRW,"2,395,941.70 0.06"
KANGWON LAND,"46,603",0,0,"46,603",KRW,"942,844.13 0.02"
KB FINANCIAL,"193,070","14,721","16,006","191,785",KRW,"8,873,363.52 0.23"
KIA,"127,124","10,063","8,717","128,470",KRW,"8,883,507.83 0.23"
KMW,"12,330",0,"12,330",0,KRW,0.00 0.00
KOREA AEROSPACE INDUSTRIES,"14,928","25,212","10,448","29,692",KRW,"810,522.55 0.02"
KOREA ELECTRIC POWER,"118,094",0,0,"118,094",KRW,"2,195,487.93 0.06"
KOREA GAS,"16,306",0,"16,306",0,KRW,0.00 0.00
KOREA INVESTMENT HOLDINGS,"19,337",0,0,"19,337",KRW,"1,312,724.47 0.03"
KOREA SHIPBUILDING OFF ENGINEERING,"20,385",0,"3,560","16,825",KRW,"1,338,927.79 0.04"
KOREA ZINC,"4,508","1,584","1,663","4,429",KRW,"1,903,871.04 0.05"
KOREAN AIR LINES,"42,657","33,792",0,"76,449",KRW,"1,887,516.96 0.05"
KRAFTON,0,"10,738",0,"10,738",KRW,"4,155,202.36 0.11"
KT & G,"56,729","9,798","9,685","56,842",KRW,"3,777,525.37 0.10"
KUMHO PETRO CHEMICAL,"9,973",0,"2,067","7,906",KRW,"1,104,017.22 0.03"
L & F,0,"10,746",0,"10,746",KRW,"2,010,446.71 0.05"
LG,"46,128","1,110","3,329","43,909",KRW,"2,988,223.08 0.08"
LG CHEM,"21,834","2,591","2,556","21,869",KRW,"11,313,969.09 0.30"
LG CHEM PFD,"4,061",797,"1,570","3,288",KRW,"793,824.78 0.02"
LG DISPLAY,"101,159","17,569","16,499","102,229",KRW,"2,115,534.77 0.06"
LG ELECTRONICS,"51,638","3,424","4,397","50,665",KRW,"5,881,635.15 0.15"
LG HOUSEHOLD & HEALTHCARE,"4,435",366,249,"4,552",KRW,"4,200,682.22 0.11"
LG HOUSEHOLD & HEALTHCARE PFD,"1,130",0,0,"1,130",KRW,"585,558.25 0.02"
LG INNOTEK,"7,742","3,319","3,672","7,389",KRW,"2,262,549.02 0.06"
LG UPLUS,"119,646","30,264","31,381","118,529",KRW,"1,356,046.17 0.04"
LOTTE CHEMICAL,"7,503",0,0,"7,503",KRW,"1,369,637.47 0.04"
LOTTE CONFECTIONERY CO,"14,382",0,"14,382",0,KRW,0.00 0.00
LOTTE SHOPPING,"6,103",0,0,"6,103",KRW,"447,683.21 0.01"
LX HOLDINGS,0,"18,919","18,919",0,KRW,0.00 0.00
MERITZ SECURITIES,"154,122",0,0,"154,122",KRW,"667,702.21 0.02"
MIRAE ASSET SEC.,"148,109",0,0,"148,109",KRW,"1,077,726.36 0.03"
NAVER,"59,221","6,462","6,623","59,060",KRW,"18,804,867.34 0.49"
NCSOFT,"8,080",601,826,"7,855",KRW,"4,248,817.82 0.11"
NETMARBLE,"9,572",0,0,"9,572",KRW,"1,006,522.88 0.03"
NH INVESTMENT & SECURITIES,"34,473","31,967",0,"66,440",KRW,"698,635.39 0.02"
ORION,"9,604","16,583","13,544","12,643",KRW,"1,100,782.29 0.03"
OTTOGI,659,0,659,0,KRW,0.00 0.00
PANOCEAN,"142,477",0,0,"142,477",KRW,"648,414.88 0.02"
PEARLABYSS,"3,153","15,686","5,507","13,332",KRW,"1,551,059.41 0.04"
POSCO,"35,841","2,999","2,565","36,275",KRW,"8,376,463.83 0.22"
POSCO CHEMICAL,"10,795","7,770","4,620","13,945",KRW,"1,689,242.34 0.04"
S-1,"9,321",0,0,"9,321",KRW,"579,452.57 0.02"
SAMSUNG BIOLOGICS,"7,954",949,982,"7,921",KRW,"6,016,981.99 0.16"
SAMSUNG C&T,"40,039","3,763","2,811","40,991",KRW,"4,103,424.27 0.11"
SAMSUNG CARD,"14,887",0,"14,887",0,KRW,0.00 0.00
SAMSUNG ELECTRO-MECHANICS,"27,207","4,140","3,800","27,547",KRW,"4,576,699.06 0.12"
SAMSUNG ELECTRONICS,"2,299,438","307,261","309,022","2,297,677",KRW,"151,342,772.83 3.96"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
SAMSUNG ELECTRONICS PFD -NVTG-,"392,798","45,020","41,401","396,417",KRW,"23,743,416.55 0.62"
SAMSUNG ENGINEERING,"86,625","40,168","45,490","81,303",KRW,"1,566,220.85 0.04"
SAMSUNG FIRE & MARINE INSURANCE,"14,107",0,0,"14,107",KRW,"2,397,159.79 0.06"
SAMSUNG HEAVY INDUSTRIES,"244,341","80,887",0,"325,228",KRW,"1,551,250.50 0.04"
SAMSUNG LIFE INSURANCE,"34,620","6,598","4,873","36,345",KRW,"1,959,808.56 0.05"
SAMSUNG SDI,"26,308","3,494","3,291","26,511",KRW,"14,607,582.82 0.38"
SAMSUNG SDS,"16,111",0,0,"16,111",KRW,"2,121,034.77 0.06"
SAMSUNG SECURITIES,"32,996","8,346","9,393","31,949",KRW,"1,206,742.36 0.03"
SD BIOSENSOR,0,"21,603",0,"21,603",KRW,"1,015,866.93 0.03"
SEEGENE,"8,500","8,500",0,"17,000",KRW,"872,347.87 0.02"
SEEGENE -PROV-,0,"8,500","8,500",0,KRW,0.00 0.00
SHINHAN FINANCIAL GROUP,"205,421","22,715","22,116","206,020",KRW,"6,377,759.66 0.17"
SHINPOONG PHARMACEUTICAL,"14,704",0,0,"14,704",KRW,"395,200.34 0.01"
SHINSEGAE,"3,576",0,"3,576",0,KRW,0.00 0.00
SK,"16,909","6,116","2,825","20,200",KRW,"4,265,166.98 0.11"
SK BIOPHARMACEUTICALS,"6,675","7,569",0,"14,244",KRW,"1,164,686.86 0.03"
SK BIOSCIENCE,0,"11,629",0,"11,629",KRW,"2,201,080.04 0.06"
SK CHEMICALS,"3,732","1,866",0,"5,598",KRW,"701,665.48 0.02"
SK CHEMICALS -PROV-,0,"1,866","1,866",0,KRW,0.00 0.00
SK HYNIX,"261,913","39,953","37,393","264,473",KRW,"29,144,968.14 0.76"
SK IE TECHNOLOGY,0,"8,283",0,"8,283",KRW,"1,170,598.30 0.03"
SK INNOVATION,"26,083","1,859","2,850","25,092",KRW,"5,034,248.04 0.13"
SK TELECOM,"17,842","5,352","15,214","7,980",KRW,"388,680.19 0.01"
SK TELECOM -ADR SPONS-,0,"5,162",0,"5,162",USD,"137,670.54 0.00"
SK TELECOM -ADR SPONS- -PROV-,0,"5,162","5,162",0,USD,0.00 0.00
SK TELECOM -ADR SPONS.-,"8,500",0,"8,500",0,USD,0.00 0.00
SKC CO,0,"10,845",0,"10,845",KRW,"1,591,973.87 0.04"
SKSQUARE,0,"5,159",0,"5,159",KRW,"288,167.21 0.01"
S-OIL,"23,861","9,288","10,072","23,077",KRW,"1,663,685.07 0.04"
WOORI FINANCIAL GROUP,"253,922","32,376","35,541","250,757",KRW,"2,678,969.28 0.07"
YUHAN,"24,140","1,207","5,252","20,095",KRW,"1,049,761.30 0.03"
YUHAN -PROV-,"1,207","1,004","1,207","1,004",KRW,"52,448.89 0.00"
"",,,,,,
"",,,,,,"484,363,772.13 12.69"
EGYPTE / ÄGYPTEN,,,,,,
COMMERCIAL INTERNATIONAL BANK,"624,735","374,479","212,320","786,894",EGP,"2,654,197.84 0.07"
EASTERN COMPANY,"446,900",0,0,"446,900",EGP,"304,949.75 0.01"
FAWRY FOR BANKING TEC.AND ELEC.PAY.,0,"284,956",0,"284,956",EGP,"232,353.93 0.01"
SEWEDY ELECTRIC,"547,465",0,"547,465",0,EGP,0.00 0.00
"",,,,,,
"",,,,,,"3,191,501.52 0.08"
EMIRATS ARABES UNIS / VEREINIGTE ARABISCHE EMIRATE,,,,,,
ABU DHABI COMMERCIAL BANK,"1,247,261","151,068",0,"1,398,329",AED,"3,247,368.39 0.09"
ABU DHABI ISLAMIC BANK,"820,599","455,327","524,998","750,928",AED,"1,404,520.87 0.04"
ADNOC DISTRIBUTION,0,"1,352,672",0,"1,352,672",AED,"1,572,510.44 0.04"
ALDAR PROPERTIES,"1,987,926","699,712","1,028,797","1,658,841",AED,"1,801,983.54 0.05"
DUBAI ISLAMIC BANK,"844,100","480,594",0,"1,324,694",AED,"1,940,309.49 0.05"
EMAAR MALLS,"1,174,209",0,"1,174,209",0,AED,0.00 0.00
EMAAR PROPERTIES,"1,478,015","841,879","309,040","2,010,854",AED,"2,677,087.47 0.07"
EMIRATES NBD,"1,266,515",0,"110,827","1,155,688",AED,"4,263,370.36 0.11"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
EMIRATES TELECOMMUNICATIONS GROUP,"839,612","885,333","65,061","1,659,884",AED,"14,325,512.35 0.38"
FIRST ABU DHABI BANK,"1,265,209","1,058,601","231,443","2,092,367",AED,"10,732,278.23 0.28"
"",,,,,,
"",,,,,,"41,964,941.14 1.10"
ETATS-UNIS / VEREINIGTE STAATEN,,,,,,
SOUTHERN COPPER,"38,748",0,0,"38,748",USD,"2,391,139.08 0.06"
YUM CHINA HOLDINGS,"193,106","32,000","18,400","206,706",USD,"10,302,227.04 0.27"
"",,,,,,
"",,,,,,"12,693,366.12 0.33"
GRECE / GRIECHENLAND,,,,,,
ALPHA SERVICES AND HOLDINGS,0,"1,044,596",0,"1,044,596",EUR,"1,279,383.99 0.03"
EUROBANK ERGASIAS SERVICES & HLDS,0,"1,400,047",0,"1,400,047",EUR,"1,419,227.76 0.04"
FOLLI FOLLIE,"17,992",0,0,"17,992",EUR,0.00 0.00
GREEK ORGAN.FOOTBALL PROGNOSTICS,"101,207",0,0,"101,207",EUR,"1,435,204.73 0.04"
HELLENIC TELECOMM.ORGANIZATIONS,"107,535",0,0,"107,535",EUR,"1,987,804.48 0.05"
JUMBO,"56,375","18,456","19,327","55,504",EUR,"795,301.27 0.02"
PUBLIC POWER CORPORATION,0,"100,000",0,"100,000",EUR,"1,068,968.00 0.03"
"",,,,,,
"",,,,,,"7,985,890.23 0.21"
HONG KONG / HONGKONG,,,,,,
BEIJING ENTERPRISES HOLDINGS,"258,500","192,500","89,000","362,000",HKD,"1,249,033.29 0.03"
BYD ELECTRONIC CO,"310,500",0,0,"310,500",HKD,"1,137,053.45 0.03"
CHINA EVERBRIGHT,"538,000",0,"538,000",0,HKD,0.00 0.00
CHINA EVERBRIGHT INTERNATIONAL,"2,000,740","520,000","576,000","1,944,740",HKD,"1,561,525.37 0.04"
CHINA JINMAO HOLDINGS GROUP,"2,846,000",0,0,"2,846,000",HKD,"879,761.80 0.02"
CHINA MERCHANTS PORT HLDG,"570,996","199,459",0,"770,455",HKD,"1,403,294.38 0.04"
CHINA MOBILE,"2,962,500",0,"2,962,500",0,HKD,0.00 0.00
CHINA OVERSEAS LAND & INVESTMENT,"1,795,000","295,500","174,500","1,916,000",HKD,"4,536,703.18 0.12"
CHINA RESOURCES BEER HOLDINGS,"708,666","88,000","90,000","706,666",HKD,"5,787,463.47 0.15"
CHINA RESOURCES PHARMA.GRP 144A/S,"907,500",0,"907,500",0,HKD,0.00 0.00
CHINA TAIPING INSURANCE HOLDINGS,"747,062",0,0,"747,062",HKD,"1,025,306.21 0.03"
CHINA TRADITIONAL CHINESE MEDICINE,"1,356,000",0,0,"1,356,000",HKD,"899,214.70 0.02"
CHINA UNICOM (HK),"2,712,003","524,000","3,236,003",0,HKD,0.00 0.00
CITIC,"2,735,000",0,0,"2,735,000",HKD,"2,701,227.86 0.07"
CNOOC,"9,073,000",0,"9,073,000",0,HKD,0.00 0.00
CSPC PHARMACEUTICAL GROUP,"4,462,080","624,000","626,000","4,460,080",HKD,"4,845,506.98 0.13"
FAR EAST HORIZON,"1,123,000",0,"336,000","787,000",HKD,"698,544.36 0.02"
FOSUN INTERNATIONAL,"1,323,500",0,"239,000","1,084,500",HKD,"1,169,873.00 0.03"
GUANGDONG INVESTMENT,"1,530,000","506,000","202,000","1,834,000",HKD,"2,331,235.51 0.06"
HUA HONG SEMICONDUCTOR 144A/S,"244,000","52,000","51,000","245,000",HKD,"1,351,287.33 0.04"
LENOVO GROUP,"3,266,000","624,000","296,000","3,594,000",HKD,"4,130,467.86 0.11"
MMG,0,"1,168,000",0,"1,168,000",HKD,"374,538.11 0.01"
SHENZHEN INVESTMENT,"1,888,000",0,"1,888,000",0,HKD,0.00 0.00
SINOTRUK HONG KONG,"381,500",0,0,"381,500",HKD,"587,203.93 0.02"
SUN ART RETAIL GROUP,0,"886,500",0,"886,500",HKD,"355,906.76 0.01"
WHARF HOLDINGS,"759,000",0,"113,000","646,000",HKD,"1,984,500.44 0.05"
YUEXIU PROPERTY,"4,170,000",0,"4,170,000",0,HKD,0.00 0.00
YUEXIU PROPERTY,0,"882,800",0,"882,800",HKD,"777,915.14 0.02"
YUEXIU PROPERTY,0,"496,800","496,800",0,HKD,0.00 0.00
YUEXIU SERVICES,0,"5,928","5,928",0,HKD,0.00 0.00
"",,,,,,
"",,,,,,"39,787,563.13 1.04"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
HONGRIE / UNGARN,,,,,,
CHEMICAL WORKS OF GEDEON RICHTER,"57,627","13,129",0,"70,756",HUF,"1,904,805.59 0.05"
MOL 'A',"215,525","46,597","43,102","219,020",HUF,"1,702,967.12 0.04"
OTP BANK,"102,974","19,378","13,860","108,492",HUF,"5,556,838.19 0.15"
"",,,,,,
"",,,,,,"9,164,610.90 0.24"
ILE DE MAN / ISLE OF MAN,,,,,,
NEPI ROCKCASTLE,"213,172",0,0,"213,172",ZAR,"1,415,804.03 0.04"
"",,,,,,
"",,,,,,"1,415,804.03 0.04"
ILES CAIMANS / KAIMANINSELN,,,,,,
3SBIO 144A/S,"704,000",0,0,"704,000",HKD,"586,947.40 0.02"
51JOB -ADR SPONS.-,"14,000",0,0,"14,000",USD,"685,020.00 0.02"
AAC TECHNOLOGIES HOLDINGS,"329,500",0,0,"329,500",HKD,"1,301,725.16 0.03"
AGILE GROUP HOLDINGS,"496,000",0,0,"496,000",HKD,"269,113.33 0.01"
AGORA 'A' -ADR SPONS.-,0,"33,800",0,"33,800",USD,"547,898.00 0.01"
AIRTAC INTERNATIONAL GROUP,"66,000","14,647","9,000","71,647",TWD,"2,641,412.13 0.07"
AK MEDICAL,"248,000",0,"248,000",0,HKD,0.00 0.00
AKESO,0,"132,000",0,"132,000",HKD,"575,659.95 0.02"
ALIBABA GROUP HOLDING,0,"13,634,740","6,318,940","7,315,800",HKD,"111,572,417.52 2.92"
ALIBABA GROUP HOLDING -ADR SPONS.-,"911,300","794,380","1,705,680",0,USD,0.00 0.00
ANTA SPORTS PRODUCTS,"508,000","65,000","40,000","533,000",HKD,"7,991,989.13 0.21"
AUTOHOME 'A' -ADR SPONS.-,"30,800","5,100","3,300","32,600",USD,"961,048.00 0.03"
BAIDU 'A' -ADR SPONS.-,"132,000","21,200","18,200","135,000",USD,"20,086,650.00 0.53"
BAOZUN 'A' -ADR SPONS.-,"33,800",0,"33,800",0,USD,0.00 0.00
BEIGENE -ADR SPONS.-,"21,000","3,400","2,200","22,200",USD,"6,014,646.00 0.16"
BILIBILI -ADR SPONS.-,"58,478","23,300","2,900","78,878",USD,"3,659,939.20 0.10"
